firstName,lastName,email,interests,bio,uid,balance,investedAmt,avatar
Judy,Nottingam,jnottingam1@facebook.com,"{Arts,'""Design & Tech'"",Film,'""Food & Craft'"",Games,Music}",CEO @Timer,dYCvpGofZpUNEw7Luh1Vdqpkrdt2,0,0,null
Mayor,Godfray,mgodfray2@twitter.com,"{Arts,'""Design & Tech'"",Film,'""Food & Craft'"",Games,Music}",CEO @Terraplanter,Mjqx0INK2GcyIOtIFjoQefEkLSz1,0,0,null
Boote,Anthes,banthes3@unblog.fr,"{Arts,'""Design & Tech'"",Film,'""Food & Craft'"",Games,Music}",CEO @Sisyphus,WOnNBROjbKgTyryqfV3bym78XVc2,0,0,null
Brooke,Penman,bpenman4@buzzfeed.com,"{Arts,'""Design & Tech'"",Film,'""Food & Craft'"",Games,Music}",CEO @MiniMuseum,gGWU2OIMsgStFcu12e50LMWe2Q83,0,0,null
Denver,Hovel,dhovel5@paypal.com,"{Arts,'""Design & Tech'"",Film,'""Food & Craft'"",Games,Music}",CEO @Guweiz,h19PfAajbHOPqUCz2uYtBSBTlQB3,0,0,null
Nappy,Fantonetti,nfantonetti6@gravatar.com,"{Arts,'""Design & Tech'"",Film,'""Food & Craft'"",Games,Music}",CEO @Sanctuary,wRDODAjV9jNvxQYtLvC7DYrUgVJ3,0,0,null
Brigitte,Self,bself7@etsy.com,"{Arts,'""Design & Tech'"",Film,'""Food & Craft'"",Games,Music}",CEO @Frosthaven,k4cDhS0ntXOTz7kU8L1LFFH2NJG2,0,0,null
Lorrie,McAlees,lmcalees8@arizona.edu,"{Arts,'""Design & Tech'"",Film,'""Food & Craft'"",Games,Music}",CEO @AvatarLegends,8df6fOoUWQZ4O3hpFHz0tMyt2wB3,0,0,null
Corny,Croston,ccroston9@taobao.com,"{Arts,'""Design & Tech'"",Film,'""Food & Craft'"",Games,Music}",CEO @ExplodingKittens,vNdwmwjLg9XhhOLzNP66PKIeM782,0,0,null
Melany,Shrimptone,mshrimptonea@archive.org,"{Arts,'""Design & Tech'"",Film,'""Food & Craft'"",Games,Music}",CEO @TheWitcher,DxfmyUbQnvdlmuu4Tp8xKoMAxv73,0,0,null
Julietta,Fontell,jfontellb@fda.gov,"{Arts,'""Design & Tech'"",Film,'""Food & Craft'"",Games,Music}",CEO @NemesisLockdown,JPkt1y2By1dGecrrhOZiDaowbbh1,0,0,null
Kelby,Plan,kplanc@merriam-webster.com,"{Arts,'""Design & Tech'"",Film,'""Food & Craft'"",Games,Music}",CEO @TheVeronicaMarsMovieProject,ofwVCUBppJdD5eGBg1MWUdo4L8w1,0,0,null
Elijah,Illingsworth,eillingsworthd@nydailynews.com,"{Arts,'""Design & Tech'"",Film,'""Food & Craft'"",Games,Music}",CEO @CriticalRole,RvzzyahEZzRqIsW8bO9OiNTDTyr2,0,0,null
Cello,Weller,cwellere@arstechnica.com,"{Arts,'""Design & Tech'"",Film,'""Food & Craft'"",Games,Music}",CEO @LMMMBTZ,7zoCy9cbcSas4WkNlr4cEOaeV7j1,0,0,null
Davidson,Terren,dterrenf@google.de,"{Arts,'""Design & Tech'"",Film,'""Food & Craft'"",Games,Music}",CEO @BMS,FinPWELMvVRvl80ygsL9BmmeptN2,0,0,null
Venus,Klimkin,vklimking@europa.eu,"{Arts,'""Design & Tech'"",Film,'""Food & Craft'"",Games,Music}",CEO @WTFIFZ,2nb1jysF3mM1wBUHitBFa6MOqkx1,0,0,null
Broderic,Soan,bsoanh@wired.com,"{Arts,'""Design & Tech'"",Film,'""Food & Craft'"",Games,Music}",CEO @CoolestCooler,JY6hYzvG7UQ9p4iSjeH1AV6vXiP2,0,0,null
Fanya,Baike,fbaikei@walmart.com,"{Arts,'""Design & Tech'"",Film,'""Food & Craft'"",Games,Music}",CEO @PicoC,76ra7zIuy9QuMszeb7bb20t1uBq2,0,0,null
Karylin,Eglese,keglesej@nydailynews.com,"{Arts,'""Design & Tech'"",Film,'""Food & Craft'"",Games,Music}",CEO @PrepdPack,uC8kAwM54gbMzOcm3aIhuskiHQj2,0,0,null
Dalia,Keedy,dkeedy0@angelfire.com,"{Arts,'""Design & Tech'"",Film,'""Food & Craft'"",Games,Music}",CEO @Silo,8pzaojrVrOeJscVTjNsNhMa14zG3,0,0,null
"Garrett,",Beckenham,gbeckenham1@youku.com,"{Arts,'""Design & Tech'"",Film,'""Food & Craft'"",Games,Music}",CEO @PrepdChefSkillet,mVgzGQr9WPQCjRbfrgYQNMeAllm2,0,0,null
Gloriana,Mansuer,gmansuer2@home.pl,"{Arts,'""Design & Tech'"",Film,'""Food & Craft'"",Games,Music}",CEO @PebbleTime,ZJyRxnxuD6hUNNwqJTOX170eNdf2,0,0,null
Cosme,Inett,cinett3@deviantart.com,"{Arts,'""Design & Tech'"",Film,'""Food & Craft'"",Games,Music}",CEO @EcoFlow,rlcYQI3XT1acU3wpntD9NWAZ78v1,0,0,null
Laverne,Baversor,lbaversor4@bing.com,"{Arts,'""Design & Tech'"",Film,'""Food & Craft'"",Games,Music}",CEO @Snapmaker,EtFgNZQYaOZVjdpKhqERP3p75v13,0,0,null
Jeno,Ramelot,jramelot5@shinystat.com,"{Arts,'""Design & Tech'"",Film,'""Food & Craft'"",Games,Music}",CEO @BirdBuddy,qT8ftk5RQKPfRG559Z9P0WBW9TF2,0,0,null
Angil,Mayhew,amayhew6@youku.com,"{Arts,'""Design & Tech'"",Film,'""Food & Craft'"",Games,Music}",CEO @Pimax,o1sECPIfScSTBFqot8PFLF64MbE3,0,0,null
Tybi,Barbrick,tbarbrick7@ehow.com,"{Arts,'""Design & Tech'"",Film,'""Food & Craft'"",Games,Music}",CEO @Voyager Golden Record,GyBWUqVSKvUQd2j1WRyD8dijCrG2,0,0,null
Doy,Virr,dvirr8@bizjournals.com,"{Arts,'""Design & Tech'"",Film,'""Food & Craft'"",Games,Music}","Manager @Hatsune Miku Global Concert ",8ZYfQw4Vc8RbB81xy9pIQ2BQ8o92,0,0,null
Eydie,Courtenay,ecourtenay9@webeden.co.uk,"{Arts,'""Design & Tech'"",Film,'""Food & Craft'"",Games,Music}",Manager @De La Sou,AgCV8DeBCXWCdCz1fkaYRbG7oHZ2,0,0,null
Sergent,Lawlee,slawleea@theglobeandmail.com,"{Arts,'""Design & Tech'"",Film,'""Food & Craft'"",Games,Music}",Manager @Theatre Is Evil,7GUDAHHZ3JfYX2hF5Qy9Kl1b4Zy1,0,0,null
Zonnya,Fahey,zfaheya@stumbleupon.com,"{Arts,'""Design & Tech'"",Film,'""Food & Craft'"",Games,Music}",Manager @New Carman Album and Music Video,OVZTGWcDikh4Iw7uD61LgKZDJ262,0,0,null
